"Key Risks/
Challenges",Impact,Mitigation Steps Taken,Expectation in 2017
"Barclays PLC
Announcement
on reduced
shareholding in
Africa","› Customer Attrition
› Deposits attrition
› Reduced sales
momentum","› “Let’s Talk” Sessions and regular
engagements with colleagues,
customers, regulators, media and
analysts to address individual concerns
and provide reassurance.
› Communication with consistent
messaging across major channels
including newspapers, radio and digital
platforms.
› Barclays 100 years marketing campaign","› Further announcements on this
sell-down are expected and we will
continue with communication plans
to manage this with all our key
stakeholders.
› We will amplify our innovation agenda
to underpin our commitment to
thismarket"
"Enactment of
the Interest Rate
Capping Law","› 30% reduction in
business revenues","› Review of product offering e.g. removal
of credit interest rates offered on
current accounts
› Product innovation – design of new
products whose construct is profitable
in this new operating environment
(ongoing)","› Innovation around improved customer
experience and new banking
solutions
› Aggressive drive to reduce costs
structure through shift of banking
transactions to digital platforms"
"Challenging
business
environment","› A number of companies
are executing cost
reduction plans including
employee retrenchments
which have impacted our
loans portfolio
performance
› Strain on performance of
SMEs","› Enlisting front-line employees to
support in reaching out to customers
and educating them on alternative
options
› Salary Retrenchment Cover on our retail
loans and key current accounts
› Review of lending arrangements for
various companies/employees","› We expect to see continued strain in
the market especially with this being
an election year and we will continued
with our heightened monitoring of
our portfolio to mitigate expected
impact."
"Deteriorating
lending book
performance
seen in the
banking
industry","› High impairment
performance for Retail
and Business Banking","› Heightened focus on controls as a key
component/delivery of the RBB
Products unit
› Review of performance scorecards for
front-line employees to include this as
a key measure
› Selective growth of our lending book:
Scheme, Mortgage, Premier,
Commercial Property Finance, Business
Expansion Loans
› Drive collection effort through front-line
employees for improved impairment
performance","› Expected continued strain in the
market and therefore on the lending
portfolio
› With the mitigation steps in place, we
are better placed to control
performance in 2017"
