Stage 1,Stage 2,Stage 3,Total
Shs'million,Shs'million,Shs'million,Shs'million
(963),(701),(6 710),(8 374)
Collectively assessed,,,
(667),(616),(5 218),(6 501)
-,-,753,753
(667),(616),(4 465),(5 748)
Individually assessed,,,
2,-,-,2
(376),(107),(2 252),(2 735)
43,-,-,43
47,19,6,72
(12),3,-,(9)
(296),(85),(2 246),(2 627)
-,-,1,1
(296),(85),(2 245),(2 626)
