Systems rolled out or enhanced in 2017,Column,Column
Project name,Purpose,Benefits and unique features
"Unsupported Infrastructure
Upgrade (ITP)","Goal: Remediate and stabilise the IT
infrastructure
Driver: Replacement of legacy
infrastructure identified as one of the
priority areas for achievement of System
Stability
Cost: Shs 620mn ($6m)","• Faster applications response times
• Increased systems performance, availability and
stability by enabling prioritisation of critical
applications
• Reduction in connectivity costs to 3rd party partners
• Significantly improved risk profile
• Higher resiliency and full fail-over capabilities on all
deployed 3rd party connections
• Better utilisation of existing Wide Area Network
(WAN) links - we have attained a reduction ratio of
40% on traffic across the network"
Data Centre Migration,"Goal: The Data Centre Migration is a one
off exercise that was undertaken to mitigate
risks at the current ATS Data Centre
Drivers:
• Business continuity and service stability
• Compliance to occupational health and
safety
• Accommodate for business growth and
long term technology strategy
Cost: BAGL borne costs","• Improved systems stability
• Reduced total cost of ownership
• Compliance to occupational health and safety
guidelines
• Improved IT governance and support"
