Column,Carrying amount,Fair value,Level 1,Level 2,Level 3
Group – 2024,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
,24 347,24 347,-,24 347,-
,8 069,8 069,-,-,8 069
,1 049,1 107,-,1 107,-
,7 289,7 289,-,-,7 289
,309 098,318 980,-,-,318 980
,11 362,11 362,-,-,-
,361 214,361 214,-,25 454,334 338
,7 045,7 045,-,7 045,-
,6 054,6 054,-,-,6 054
,367 115,367 115,-,-,367 115
,19 730,12 340,-,-,12 340
,19 587,19 587,-,-,19 587
,419 531,412 141,-,7 045,405 096
