Computer software,WIP,Total
Shs'million,Shs'million,Shs'million
5 626,70,5 696
8,141,149
139,(139),-
-,13,13
5 773,85,5 858
(5 215),-,(5 215)
(127),-,(127)
(5 342),-,(5 342)
431,85,516
