Computer software,WIP,Total
Shs’million,Shs’million,Shs’million
5 202,252,5 454
-,556,556
250,(250),-
(3),(55),(58)
5 449,503,5 952
(4 245),-,(4 245)
(312),-,(312)
(4 557),-,(4 557)
892,503,1 395
