"Fair Value
through
Profit/Loss","Fair Value
through OCI
- Debt
instruments","Amortised
Cost - Debt
instruments","Amortised
cost financial
liabilities","Total Assets
and Liabilities"
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
-,-,21 009,-,21 009
1 120,-,-,-,1 120
-,-,234 234,-,234 234
44 196,88 380,-,-,132 576
-,-,3 007,-,3 007
-,-,19 058,-,19 058
-,-,9 527,-,9 527
45 316,88 380,286 835,-,420 531
1 344,-,-,-,1 344
-,-,-,8 505,8 505
-,-,-,4 809,4 809
-,-,-,268 717,268 717
-,-,-,67 143,67 143
-,-,-,18 872,18 872
1 344,-,-,368 046,369 390
-,8 297,23 741,-,32 038
-,-,-,(6 781),(6 781)
-,8 297,23 741,(6 781),25 257
