As at 31 Dec 2023,Column
Shs'million,
13.6%,
18.1%,
60 169,
2 716,"2 716
53 164"
59 830,
(2 377),(273)
19 729,
19 729,15 506
79 898,
442 485,
65 424,
16.7%,
31.1%,
