item,0,2,4,6
"June 2012 Shs '000 Unaudited 7,336,137 2,317,909 95,766 884,648","June 2012 Shs '000 Unaudited 7,336,137 2,317,909 95,766 884,648",,,
"10,634,460 1,222,189 140,676 298,211","10,634,460 1,222,189 140,676 298,211",,,
"1,661,076 8,973,384 774,534 2,514,642 1,365,976 - 67,862","1,661,076 8,973,384 774,534 2,514,642 1,365,976 - 67,862",,,
"4,723,014","4,723,014",,,
"13,696,398","13,696,398",,,
"458,922 3,808,989 13,167 473,159 334,169 251,357 2,042,950","458,922 3,808,989 13,167 473,159 334,169 251,357 2,042,950",,,
"7,382,713 6,313,685 -","7,382,713 6,313,685 -",,,
"6,313,685 (2,029,051) (17,595)","6,313,685 (2,029,051) (17,595)",,,
"4,267,039","4,267,039",,,
"- 4,043,554 - - (1,213,066) -","- 4,043,554 - - (1,213,066) -",,,
"2,830,488","2,830,488",,,
"7,097,527","7,097,527",,,
"December 2012 Shs '000 Audited 14,897,931 4,300,929 220,079 1,622,064","December 2012 Shs '000 Audited 14,897,931 4,300,929 220,079 1,622,064",,,
"21,041,003 2,240,523 177,956 477,356","21,041,003 2,240,523 177,956 477,356",,,
"2,895,835 18,145,168 1,595,978 4,980,476 2,437,256 - 265,509","2,895,835 18,145,168 1,595,978 4,980,476 2,437,256 - 265,509",,,
"9,279,219","9,279,219",,,
"27,424,387","27,424,387",,,
"144,376 7,814,148 17,469 1,033,254 626,880 564,707 4,203,809","144,376 7,814,148 17,469 1,033,254 626,880 564,707 4,203,809",,,
"14,404,643 13,019,744 -","14,404,643 13,019,744 -",,,
"13,019,744 (4,097,965) (181,076)","13,019,744 (4,097,965) (181,076)",,,
"8,740,703","8,740,703",,,
"- 3,035,051 - - (910,515) 416,000","- 3,035,051 - - (910,515) 416,000",,,
"2,540,536","2,540,536",,,
"11,281,239","11,281,239",,,
"March 2013 Shs '000 Unaudited 3,605,391 1,134,452 46,770 352,697","March 2013 Shs '000 Unaudited 3,605,391 1,134,452 46,770 352,697",,,
"5,139,310 530,037 14,290 75,955","5,139,310 530,037 14,290 75,955",,,
"620,282 4,519,028 495,512 1,199,021 438,504 - 119,541","620,282 4,519,028 495,512 1,199,021 438,504 - 119,541",,,
"2,252,578","2,252,578",,,
"6,771,606","6,771,606",,,
"270,798 1,936,993 4,762 235,713 137,931 152,269 930,338","270,798 1,936,993 4,762 235,713 137,931 152,269 930,338",,,
"3,668,804 3,102,802 658,259","3,668,804 3,102,802 658,259",,,
"2,444,543 (982,337) 197,170","2,444,543 (982,337) 197,170",,,
"1,659,376","1,659,376",,,
"- (318,043) - - 95,413 -","- (318,043) - - 95,413 -",,,
"(222,630)","(222,630)",,,
"1,436,746","1,436,746",,,
"June 2013 Shs '000 Unaudited 7,292,516 2,289,485 127,291 747,853","June 2013 Shs '000 Unaudited 7,292,516 2,289,485 127,291 747,853",,,
"10,457,145 1,044,877 30,034 150,869","10,457,145 1,044,877 30,034 150,869",,,
"1,225,780 9,231,365 928,717 2,377,523 968,841 - 216,825","1,225,780 9,231,365 928,717 2,377,523 968,841 - 216,825",,,
"4,491,906","4,491,906",,,
"13,723,271","13,723,271",,,
"581,154 3,846,224 7,590 518,000 282,423 305,095 1,919,776","581,154 3,846,224 7,590 518,000 282,423 305,095 1,919,776",,,
"7,460,262 6,263,009 788,259","7,460,262 6,263,009 788,259",,,
"5,474,750 (1,804,773) 62,292","5,474,750 (1,804,773) 62,292",,,
"3,732,269","3,732,269",,,
"- 819,510 - - (245,853) -","- 819,510 - - (245,853) -",,,
"573,657","573,657",,,
"4,305,926","4,305,926",,,
None None None,"June 2012 Shs '000 Unaudited 7 ,336,137 2 ,317,909 95,766 884,648","December 2012 Shs '000 Audited 14,897,931 4 ,300,929 220,079 1 ,622,064","March 2013 Shs '000 Unaudited 3 ,605,391 1 ,134,452 46,770 352,697","June 2013 Shs '000 Unaudited 7 ,292,516 2 ,289,485 127,291 747,853"
,"4,723,014","9,279,219","2,252,578","4,491,906"
