Name,Industry Experience
Francis Okomo-Okello*,"Legal, Financial Services, Tourism and Media"
Rose Ogega*,Audit and Financial Consulting
Brown Ondego*,Public Sector and Logistics
Jane Karuku*,"Retail, Marketing, Operations and Agriculture"
Ashok Shah*,"Financial Services, Capital Markets and Auto"
Jeremy Awori**,Financial Services
Yusuf Omari**,Financial Services
Laila Macharia*,"Legal, Public Sector and Investment Management"
Winnie Ouko*,"Accountant, Financial Consulting and Strategy
Advisory"
Norah Odwesso*,Corporate Relations and Strategy Management
