item,0,1,3,2,4
Shs’ million,Shs’ million,,,,
21 992,21 992,,,,
9 702,9 702,,,,
31 694,31 694,,,,
17 177,17 177,,,,
14 517,14 517,,,,
3 871,3 871,,,,
10 646,10 646,,,,
3 230,3 230,,,,
7 416,7 416,,,,
29 061,29 061,,,,
(7 069),(7 069),,,,
6 711,6 711,,,,
(1 086),(1 086),,,,
5 625,5 625,,,,
4 045,4 045,,,,
32,32,,,,
(3 871),(3 871),,,,
27 823,27 823,,,,
(9 921),(9 921),,,,
(1 263),(1 263),,,,
(4 794),(4 794),,,,
(792),(792),,,,
(407),(407),,,,
(17 177),(17 177),,,,
(3 230),(3 230),,,,
23,23,,,,
(7),(7),,,,
16,16,,,,
398,398,,,,
(119),(119),,,,
279,279,,,,
295,295,,,,
7 711,7 711,,,,
1.37,1.37,,,,
29 052,29 052,,,,
(7 092),(7 092),,,,
21 960,21 960,,,,
6 191,6 191,,,,
5 105,5 105,,,,
31 142,31 142,,,,
27 271,27 271,,,,
(9 794),(9 794),,,,
(1 242),(1 242),,,,
(4 786),(4 786),,,,
(17 021),(17 021),,,,
10 250,10 250,,,,
(3 106),(3 106),,,,
7 144,7 144,,,,
396,396,,,,
277,277,,,,
293,293,,,,
7 437,7 437,,,,
1.32,1.32,,,,
,,29 708,29 708,,
13 438,,15 623,,29 061,
(2 136),,(4 933),,(7 069),
11 302,,10 690,,21 992,
903,,5 808,,6 711,
(145),,(941),,(1 086),
758,,4 867,,5 625,
2 277,,1 003,,3 280,
765,,32,,797,
15 102,,16 592,,31 694,
(500),,(3 371),,(3 871),
14 602,,13 221,,27 823,
(2 246),,(13 732),,(15 978),
12 356,,(1 710),,10 646,
(3 743),,513,,(3 230),
8 613,,(1 197),,7 416,
4,,914,,1 009,
2,,416,,5,
6,,1 330,,1 014,
%,The ten largest shareholders in the Company (ordinary share only) and the respective number of shares held as at 31 December 2018 are as follows:,,,,
Standard Chartered Nominees Non-Resd. A/C Ke8723,,1.23%,,,
Kenya Commercial Bank Nominees Limited A/C 915B,,0.77%,,,
Standard Chartered Nominees Resd A/C Ke11450,,0.70%,,,
"Standard Chartered Kenya Nominees Ltd,A/C Ke20510",,0.49%,,,
Standard Chartered Nominees A/C 9230,,0.45%,,,
100.00,,100.00,,,
Shares Range Number of Shareholders No. of Shares Held % Holding,,,% Holding,,
501-5 000,,22 383,0.89%,48 156 326,
10 001-100 000,,17 851,9.54%,518 157 368,
>1 000 000,,161,83.58%,4 539 511 958,
208 Barclays Bank of Kenya Limited 2018 Integrated Report,208 Barclays Bank of Kenya Limited 2018 Integrated Report,,,,
