item,2,3,4,5,6,7,1
Year ended 31 December 2013 Notes,Share capital Shs million,Regulatory reserve Shs million,Other reserve Shs million,Retained earnings Shs million,Proposed dividends Shs millions,Total Shs million,
At start of year Total comprehensive income for the year Profit for the year Other comprehensive income Transfers Transactions with owners: Dividends to equity holders - final for 2012 paid - interim for 2013 paid - proposed final for 2013 At end of year 31,"2,716","1,461",(206),"21,813","3,802","29,586",
None None,- -,- -,- (195),"7,623 246",- -,"7,623 51",
Year ended 31 December 2014,,,,,,,
At start of year Total comprehensive income for the year Profit for the year Other comprehensive income Transfers Transactions with owners: Dividends to equity holders - final for 2013 paid - proposed for 2014 At end of year 31,"2,716",973,(401),"26,368","2,716","32,372",
Year ended 31 December 2013,Share capital Shs million,Regulatory reserve Shs million,Other reserve Shs million,Retained earnings Shs million,Proposed dividends Shs millions,Total Shs million,Notes
At start of the year Total comprehensive income for the year Profit for the year Other comprehensive income Transfers Transactions with owners: Dividends to equity holders - final for 2012 paid - interim for 2013 paid - proposed final for 2013 At end of year,"2,716","1,461",(206),"21,813","3,802","29,586",
None,- -,- -,- (195),"7,623 246",- -,"7,623 51",
At start of year Total comprehensive income for the year Profit for the year Other comprehensive income Transfers Transactions with owners: Dividends to equity holders - final for 2013 paid - proposed for 2014 At end of year,"2,716",973,(401),"26,368","2,716","32,372",
