Column,"Up to 1
month",1 - 3 months,"4 - 12
months",Over 1 year,"Non-interest
bearing",Total
2024,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
,-,-,-,-,24 416,24 416
,20,1 046,15 837,13 591,2 976,33 470
,2 000,11 027,49 008,34 033,-,96 068
,1 049,-,-,-,-,1 049
,8 069,-,-,-,-,8 069
,6 982,-,-,-,307,7 289
,236 791,2 788,10 337,59 182,-,309 098
,254 911,14 861,75 182,106 806,27 699,479 459
,5 524,1 292,-,-,229,7 045
,3 972,-,-,713,1 369,6 054
,127 006,40 012,76 155,120 691,3 251,367 115
,-,19 640,-,-,90,19 730
,136 502,60 944,76 155,121 404,4 939,399 944
,118 409,(46 083),(973),(14 598),22 760,79 515
