2005 2006 2007 2008 2009
"14,275 15,123 18,860 23,628 23,397
(7,519) (7,767) (11,095) (14,329) (13,882)
(1,329) (881) (687) (1,282) (513)
5,427 6,475 7,078 8,016 9,002
3,729 4,492 4,910 5,558 6,091
2.70 3.30 3.60 4.09 4.49
2.10 1.65 1.65 2.00 2.50
65,562 73,907 105,346 108,086 93,543
15,663 11,869 10,774 13,695 9,751
15,767 25,484 25,721 28,307 43,861
1,503 1,613 2,772 4,012 5,921
5,731 4,849 13,043 14,411 11,800
104,226 117,722 157,656 168,511 164,876
81,800 93,837 109,097 126,562 125,869
9,249 9,023 30,995 21,455 14,797
91,049 102,860 140,092 148,017 140,666
13,177 14,862 17,564 20,494 24,210
-
13,177 14,862 17,564 20,494 24,210
28.0% 30.0% 28.0% 27.1% 25.2%
3.0% 4.0% 3.1% 3.3% 3.7%
2.0% 1.0% 0.6% 1.2% 0.5%
52.7% 51.4% 58.8% 60.6% 59.3%
80% 79% 97% 85% 74%
6.6% 5.7% 3.1% 3.0% 0.0%
1,762 2,197 6,900 5,724 5,325
1,762 2,197 2,785 4,026 3,590
- - 4,115 1,698 1,735
33,556 46,119 58,946 60,914 60,488
58 62 107 117 119
83 98 193 234 234"
