item,0
22000066 SShhss mmiilllliioonn,22000066 SShhss mmiilllliioonn
"10,333 (1,468) 4,915 1,272 148 (7,585) (1,399)","10,333 (1,468) 4,915 1,272 148 (7,585) (1,399)"
"6,216 (9,280) 1,991 (724) (18,984) (494) 12,013 (620) (118)","6,216 (9,280) 1,991 (724) (18,984) (494) 12,013 (620) (118)"
"(10,000)","(10,000)"
(448) 204,(448) 204
(244),(244)
"(2,852)","(2,852)"
"((1133,,009966)) 18,177","((1133,,009966)) 18,177"
"55,,008811","55,,008811"
22000066 TToottaall SSeeggmmeenntt SShhssmmiilllliioonn,22000066 TToottaall SSeeggmmeenntt SShhssmmiilllliioonn
"8,198 25,484 1,454 3,322 73,907 1,613 3,744","8,198 25,484 1,454 3,322 73,907 1,613 3,744"
"111177,,772222","111177,,772222"
"93,837 2,268 1,215 913 343 4,284 14,862 -","93,837 2,268 1,215 913 343 4,284 14,862 -"
22000066 SShhssmmiilllliioonn,22000066 SShhssmmiilllliioonn
"8,198 236 3,322 1,454 (2,268) (5,861)","8,198 236 3,322 1,454 (2,268) (5,861)"
"5,081","5,081"
