item,0,1,3,4,2
2019,2019,,,,
Shs’million,Shs’million,,,,
31 024,31 024,,,,
(7 845),(7 845),,,,
23 179,23 179,,,,
6 885,6 885,,,,
(764),(764),,,,
6 121,6 121,,,,
4 179,4 179,,,,
289,289,,,,
33 768,33 768,,,,
(4 201),(4 201),,,,
29 567,29 567,,,,
(10 679),(10 679),,,,
(975),(975),,,,
(5 698),(5 698),,,,
(1 070),(1 070),,,,
(393),(393),,,,
(18 815),(18 815),,,,
10 752,10 752,,,,
(3 296),(3 296),,,,
7 456,7 456,,,,
(99),(99),,,,
30,30,,,,
(69),(69),,,,
(355),(355),,,,
107,107,,,,
(248),(248),,,,
(317),(317),,,,
7 139,7 139,,,,
1.37,1.37,,,,
30 987,30 987,,,,
(7 861),(7 861),,,,
23 126,23 126,,,,
6 299,6 299,,,,
5 535,5 535,,,,
304,304,,,,
33 144,33 144,,,,
(4 199),(4 199),,,,
28 945,28 945,,,,
(10 512),(10 512),,,,
(964),(964),,,,
(5 678),(5 678),,,,
(18 617),(18 617),,,,
10 328,10 328,,,,
(3 167),(3 167),,,,
7 161,7 161,,,,
(361),(361),,,,
108,108,,,,
(253),(253),,,,
(322),(322),,,,
6 839,6 839,,,,
1.32,1.32,,,,
28 808,28 808,,,,
3 803,3 803,,,,
43 774,43 774,,,,
921,921,,,,
79 221,79 221,,,,
8 704,8 704,,,,
194 895,194 895,,,,
7 687,7 687,,,,
425,425,,,,
47,47,,,,
2 843,2 843,,,,
618,618,,,,
35,35,,,,
3 123,3 123,,,,
374 904,374 904,,,,
4 083,4 083,,,,
1 535,1 535,,,,
64 350,64 350,,,,
237 739,237 739,,,,
7 628,7 628,,,,
14 380,14 380,,,,
329 715,329 715,,,,
2 716,2 716,,,,
37 095,37 095,,,,
281,281,,,,
209,209,,,,
4 888,4 888,,,,
45 189,45 189,,,,
Level 1 Level 3,,Level 2,Total,,
Shs’million Shs’million,,Shs’million,Shs’million,,
,,43 774,43 774,,
Level 1,Carrying amount,Fair value,Level 2,Level 3,
Shs’ million,Shs’ million,,,,
17,17,,,,
217,217,,,,
447,447,,,,
171,171,,,,
887,887,,,,
32,32,,,,
None,2019,,,,2019
8 864 4 14 59 101 84 - -,,,,,
9 126,8 704,,,,9 204
Relationship,,Interest received,Recharges,,Interest paid
Parent,,15,1 845,,1 452
Sister,,-,-,,168
(51 938),(64 350),,,,(65 061)
