item,0,2,1,3,4
27 171,27 171,,,,
(5 370),(5 370),,,,
21 801,21 801,,,,
6 137,6 137,,,,
(865),(865),,,,
5 272,5 272,,,,
2 864,2 864,,,,
351,351,,,,
(30),(30),,,,
30 258,30 258,,,,
(3 115),(3 115),,,,
27 143,27 143,,,,
(10 255),(10 255),,,,
(1 838),(1 838),,,,
(3 457),(3 457),,,,
(767),(767),,,,
(465),(465),,,,
(16 782),(16 782),,,,
10 361,10 361,,,,
(3 435),(3 435),,,,
6 926,6 926,,,,
(139),(139),,,,
42,42,,,,
(97),(97),,,,
575,575,,,,
(173),(173),,,,
402,402,,,,
305,305,,,,
7 231,7 231,,,,
1.28,1.28,,,,
27 166,27 166,,,,
(5 391),(5 391),,,,
21 775,21 775,,,,
5 687,5 687,,,,
4 822,4 822,,,,
29 782,29 782,,,,
26 667,26 667,,,,
(10 153),(10 153),,,,
(1 828),(1 828),,,,
(3 449),(3 449),,,,
(16 662),(16 662),,,,
10 005,10 005,,,,
(3 326),(3 326),,,,
6 679,6 679,,,,
6 984,6 984,,,,
1.23,1.23,,,,
11,11,,,,
20,20,,,,
(61),(61),,,,
152,152,,,,
(3 305),(3 305),,,,
190,190,,,,
(7 883) (83) (57) (462) (748) (28) (9) (567),(8 460),(8 450),,,
None,(81),(81),,,
(9 837),(10 255),(10 153),,,
2016 2 591 1 291,2017,2017,,,
4 720,4 720,,,,
11 634,11 634,,,,
9 608,9 608,,,,
(369),,136,69,,
97,,318,326,,
(272),,454,395,,
395,,454,,,
4 877 43 822,,,,,
48 699,58 476,58 376,,,
1 818,1 818,,,,
(102) 9 260,(115),,,,
,,,9 608,9 608,
Valuation technique applied,,,,,
Discounted cashflow valuation technique,,,,,
10 142,,42 387,32 245,,
(4 980),,(20 586),(15 606),,
5 162,,21 801,16 639,,
853,,6 103,5 250,,
(84),,(831),(747),,
769,,5 272,4 503,,
1 829,,2 864,1 035,,
333,,321,(12),,
8 093,,30 258,22 165,,
(259),,(3 115),(2 856),,
7 834,,27 143,19 309,,
(2 977),,(15 553),(12 576),,
4 857,,10 361,5 502,,
(1 610),,(3 435),(1 823),,
3 247,,6 926,3 679,,
5,,632,547,,
1,,(24),10,,
6,,608,557,,
Standard Annual periods beginning on or after,,,Standard,,
