riorities,Strategic response,Core commitments for 2024,Key outcomes
,"Context: The fourth industrial
revolution will create natural
winners and losers in financial
services, yet those who win will
retain open preferences for
customers at the front-end, while
fully automating the back-end and
applying advanced technologies
for safety
Response: We will aim to
modernise our core technology
chassis, while executing a digital
transformation programme to
support a two-speed model for our
business. We will do this while
opportunistically expanding our
physical distribution format","•
Digitise the core
•
Build a challenger digital only
bank
•
Embedded Finance to enhance
digital distribution of financial
services through partnerships","•
Upgraded our core banking infrastructure
hence supporting business resilience
•
Short term loans product rolled out
•
Enhanced stability on digital channels
resulting in growth in digitally active
customers and digital onboarding, enabled
utility payments across all digital channels
•
Enhanced payments infrastructure-digital
channels onboarding, digi-loans, personalised
forex transactions, World Remit and
Sendwave
•
Distributor finance system enhanced to
support ecosystem banking
•
Back-office automation at 63 percent"
,"Context: Sustainability has
become the modern center-bolt
for brands, influencing their
long-term strategic choices as well
as immediate actions. Looming
crises such as climate change have
served to deepen emphasis on
sustainability practices.
Organisations have thus shifted
their practices to generate value to
shareholders while concurrently
seeking to positively impact the
people, communities, and
surrounding environments
Response: We will aim to build an
always-on, ever present brand that
drives a sustainable future by
being a Force for Good in the
communities in which we operate,
while building relevance,
consideration and connection with
our customers, colleagues and
stakeholders that will ultimately
lead to brand advocacy and loyalty","•
Entrench the brand - driving
re-appraisal by appealing and
connecting to local audiences
through relevant differentiated
brand campaigns, assets and
sponsorships
•
Drive Primacy - increasing
consideration and relevance
•
Enhance stakeholder
relationships by proactively
growing our reputation
by nurturing affinity and trust as
we diligently cultivate a lasting,
sustainable brand for the future
•
A Force For Good","•
Improved connection by 20 percent, and
maintained number one most Reputable
Financial Services Institution and won various
awards
•
Consideration score at 38 percent
•
Thick Trust Score 72.7 percent
•
Launched Absa Kenya Foundation
•
Launched 2023 Sustainability Report
•
Shs 47 billion total sustainable finance
advanced in 2024
•
85 percent of our sustainability commitments
on track"
,"Context: While financial services
remain a people business, the
emergence of NextGen’s shifted
the workforce, the workplace and
the dynamic of work
Response: We will aim to build a
diverse workforce, a hybrid
workplace, and dynamic formats of
work, in a way that attracts the
very best talent, that also mirrors
the market we serve. This is
because it takes diverse talent to
win and our people are our
strength","•
Future skills - People
management capability, reskilling
and upskilling
•
Enhanced talent management
framework
•
Focus on wholeness and
wellness
•
Workforce Ecosystems","•
Continued upskilling of workforce with core
futures skills in digital, data, cyber security
and management competencies
•
Certified as Top Employer for the fourth
consecutive year, with a 70.2 percent
colleague experience index
•
Achieved organisation-wide gender parity (43
percent of women in leadership)
•
Deployed the young leader’s council to bridge
the age gap between the senior leaders and
the younger generation
•
Re-orienting workforce towards
organisational resilience and agility"
