Indicators,FY 2019,FY,20,18,B/(W) vs. PY
Normalised Return on Equity,18.4%,1,6.8%,,Marked improvement
Cost to Income Ratio (adjusted)(1),51.2%,5,4.2%,,Marked improvement
Loan Loss Rate,2.2%,,2.2%,,Within target and in line with business growth
Net Interest Margins,8.5%,,9.1%,,Broadly maintained
Yield on Loans,11.3%,1,1.8%,,Broadly maintained
Cost of Funds,2.8%,,3.0%,,Better than prior period
Coverage Ratio,77%,,69%,,Adequate coverage ratio
