item,0,3,4,2,6,8,1,5,7,9,10,11,12,13,14
None None,,None,None,,,,,,,,,,,,
Name Domicile,Rank,Total Shares,%,,,,,,,,,,,,
Absa Group Limited FC,1,"3,720,816,000",68.50%,,,,,,,,,,,,
"Patel,Baloobhai;Patel,Amarjeet Baloobhai LC",2,"42,565,720",0.78%,,,,,,,,,,,,
Kenya Commercial Bank Nominees Limited A/C 915b LC,3,"41,863,390",0.77%,,,,,,,,,,,,
Standard Chartered Nominees Resd A/C KE11450 LC,4,"37,857,590",0.70%,,,,,,,,,,,,
Standard Chartered Kenya Nominees Ltd A/C Ke004667 FC,5,"31,157,110",0.57%,,,,,,,,,,,,
Standard Chartered Nominees Resd A/C KE11443 LC,6,"26,292,300",0.48%,,,,,,,,,,,,
Standard Chartered Nominees Resd A/C KE11401 LC,7,"26,062,912",0.48%,,,,,,,,,,,,
The Jubilee Insurance Company Of Kenya Limited LC,8,"19,869,027",0.37%,,,,,,,,,,,,
"Kariuki,Patrick Njogu LI",9,"18,439,200",0.34%,,,,,,,,,,,,
Standard Chartered Nominees A/C 9230 LC,10,"17,693,720",0.33%,,,,,,,,,,,,
Others,11,"181,255,109",26.68%,,,,,,,,,,,,
"23,381","23,381",,,,,,,,,,,,,,
"10,700","10,700",,,,,,,,,,,,,,
"34,081","34,081",,,,,,,,,,,,,,
"16,647","16,647",,,,,,,,,,,,,,
"17,434","17,434",,,,,,,,,,,,,,
"8,585","8,585",,,,,,,,,,,,,,
"8,849","8,849",,,,,,,,,,,,,,
"3,202","3,202",,,,,,,,,,,,,,
"5,647","5,647",,,,,,,,,,,,,,
"1,484","1,484",,,,,,,,,,,,,,
"4,163","4,163",,,,,,,,,,,,,,
"6,524","6,524",,,,,,,,,,,,,,
None None None None None None 18.8% None None,,,None,None,18.8%,None,,,,,,,,,
None None None None 16.8% None None None None,,,16.8%,None,None,None,,,,,,,,,
None None 15.7% None None None None None None,,,None,15.7%,None,None,,,,,,,,,
None None None None None None None None 14.1%,,,None,None,None,14.1%,,,,,,,,,
None,,,,2020 Shs’ million,,,None,,,,,,,,
Total Assets,,,,"379,441",,,259 718 271 572 325 313 374 904,,,,,,,,
Net Loans and advances to customers,,,,"208,855",,,168 510 168 397 177 354 194 895,,,,,,,,
Liability,,,,"332,936",,,217 330 227 474 281 107 329 715 178 180 185 977 207 408 237 739 42 388 44 098 44 207 45 189 259 718 271 572 325 313 374 904,,,,,,,,
Deposits due to customers,,,,"253,630",,,None,,,,,,,,
Total Equity,,,,"46,505",,,None,,,,,,,,
Total equity and liabilities,,,,"379,441",,,None,,,,,,,,
Net advances to deposits (%),,,,82,,,95 91 86 82,,,,,,,,
Net interest income,,,,,,,"18,680",,,,,,,,
Non-interest income,,,,,,,"5,684",,,,,,,,
Impairment,,,,,,,"(6,667)",,,,,,,,
Customer loans,,,,,,,"131,206",,,,,,,,
Customer deposits,,,,,,,"206,752",,,,,,,,
Customer loans (Net),,,,,,,"77,649",,,,,,,,
Transactional Banking Debt and Investment Banking Ecosystem Banking,,,,,,,,,,,,,,,
Customer Experience Strong Relationships Robust Control Environment,,,,,,,,,,,,,,,
Net foreign exchange income,,,,,,,3376,,,,,,,,
Fixed income,,,,,,,629,,,,,,,,
Brokerage,,,,,,,66,,,,,,,,
"Absa Group and Absa Bank Kenya Our People, Customers and Suppliers Collaboration Our Communities",,,,Collaboration,,,"Our People, Customers and Suppliers",,,,,,,,
"War room Health and wellbeing and promotion of ongoing economic stimulus Adherence to policies, guidelines and frameworks None",,,,"Adherence to policies, guidelines and frameworks",,,Health and wellbeing and promotion of ongoing economic stimulus,,,,,,,,
Barclays Bank PLC (UK) divests from Africa,Barclays restructures regionally forming Barclays Africa Group Limited - 12 African countries make up the Group,June 2018 Barclays Africa Group Limited changes name to Absa Group Limited,June 2018 separation process initiated with Barclays PLC (includes the Kenyan Entity),"Between 2016 and 2019, Barclays PLC reduces its shareholding in Barclays Africa Group Limited (BAGL) from 62.3% to 14.9%.",,,,"In February 2020, Kenyan entity changes its name to Absa Bank Kenya PLC.",,,,,,,
"Relocated 91 systems from Barclays PLC with significant enhancements to support customer experience, with some entirely new technology project",,"Implemented a colleague change program on new Absa values and culture and kitted 2,000 colleagues leading to significant improvement in the Colleague Experience Index to 78","Launched 12 new propositions over the last 3 years focused on customer experience, with most underpinned by new technology resulting in improved internal NPS of +52",Rebranded 178 locations and all our legal assets with minimal disruption to colleagues and customers including changing of our trading ticket at the NSE. High brand equity score of 22,,,Delivered 166 projects across the change program with minimal downtime experienced by customers.,,,,,,,,
"We drive high performance to achieve sustainable results z We play to win and are accountable for results. z We innovate, we are decisive and we act quickly. z We learn from our failures; we are bold enough to change course. We are obsessed with the customer z We are curious, we anticipate the customer’s needs. z We take ownership of delivering the One Absa customer experience. z We outperform by going beyond customer expectations.","We drive high performance to achieve sustainable results z We play to win and are accountable for results. z We innovate, we are decisive and we act quickly. z We learn from our failures; we are bold enough to change course.",,,,,,"We are obsessed with the customer z We are curious, we anticipate the customer’s needs. z We take ownership of delivering the One Absa customer experience. z We outperform by going beyond customer expectations.",,,,,,,,
"Our people are our strength z We integrate diverse perspectives to invent the future. z We collaborate with courage, honesty and powerful energy. z We trust, value and grow our people to achieve their full potential. We have an African heartbeat z We deliver a uniquely Absa experience across Africa. z We co-create across Africa to deliver better solutions. z We actively engage our communities to bring people’s possibilities to life.","Our people are our strength z We integrate diverse perspectives to invent the future. z We collaborate with courage, honesty and powerful energy. z We trust, value and grow our people to achieve their full potential.",,,,,,We have an African heartbeat z We deliver a uniquely Absa experience across Africa. z We co-create across Africa to deliver better solutions. z We actively engage our communities to bring people’s possibilities to life.,,,,,,,,
New culture Embracing digitization COVID-19 response Fraud management Managing different customer needs,,,,COVID-19 response,,,,,,,,,,,
"None New products on offer enhance our customer value proposition The need to respond and protect our customer base, stimulate economic activity and enhance social wellbeing Responding to changes in this risk as we transition to new ways of working. Protecting our customers interests None",,,,"The need to respond and protect our customer base, stimulate economic activity and enhance social wellbeing",,,,,,,,,,,
Newly registered customers on Timiza,,,,,,,"299,887",,,,,,,,
Total registered customers,,,,,,,4.3mn,,,,,,,,
Total number of loans disbursed,,,,,,,"778,238",,,,,,,,
Total value of loans disbursed,,,,,,,Shs 8.2B,,,,,,,,
Average loan ticket size,,,,,,,"Shs 10,000",,,,,,,,
Total number of airtime and bill transactions,,,,,,,"69,000",,,,,,,,
Total savings liability balance,,,,,,,Shs 25mn,,,,,,,,
Department Description Mandate,,,,Mandate,,,Description,,,,,,,,
"Business Intelligence & Analytics Business Intelligence and Analytics includes the technologies and tools used to analyze and report on different business operations. Business Intelligence uses raw data stored in varying Data Warehouses, Data Marts, Data Lakes, and other storage platforms, and transforms it into actionable information assets and automated self- service solutions. This team focuses on improving efficiency in the retrieval of data, reports and insights. The team is divided into two; Business Analytics which supports staff with data requests and use cases while Data Engineering develops automation and self-service tools to host business solutions.",,,,"This team focuses on improving efficiency in the retrieval of data, reports and insights. The team is divided into two; Business Analytics which supports staff with data requests and use cases while Data Engineering develops automation and self-service tools to host business solutions.",,,"Business Intelligence and Analytics includes the technologies and tools used to analyze and report on different business operations. Business Intelligence uses raw data stored in varying Data Warehouses, Data Marts, Data Lakes, and other storage platforms, and transforms it into actionable information assets and automated self- service solutions.",,,,,,,,
"Data Governance Data Governance is a collection of practices and processes which ensure the formal management of data assets within the bank. It encompasses Data Stewardship, Data Quality, security and privacy, integrity, usability, integration, compliance, availability, roles and responsibilities, and overall management of the internal and external data flows within an organization. Data Governance colleagues ensure that data used on a day to day basis is managed as per the group’s policies and procedures. They enforce ownership of data, Stewardship, Data Quality, Issues Remediation, Integrity, Integration and Architecture of data repositories within the bank.",,,,"Data Governance colleagues ensure that data used on a day to day basis is managed as per the group’s policies and procedures. They enforce ownership of data, Stewardship, Data Quality, Issues Remediation, Integrity, Integration and Architecture of data repositories within the bank.",,,"Data Governance is a collection of practices and processes which ensure the formal management of data assets within the bank. It encompasses Data Stewardship, Data Quality, security and privacy, integrity, usability, integration, compliance, availability, roles and responsibilities, and overall management of the internal and external data flows within an organization.",,,,,,,,
"Data Science & Artificial Intelligence Data science unifies statistics, data analysis, machine learning, artificial intelligence and their related methods in order to understand and analyze actual phenomena with data. It employs techniques and theories drawn from many fields within the context of mathematics, statistics, computer science, and information science. Data scientists make use of their statistical, math and computer science skills to explain customer behavior, identify leads, test hypothesis, predict data points and prescribe scientific solutions to business challenges. They also run frequent data studies to identify opportunities for growth and transformation in our key business areas.",,,,"Data scientists make use of their statistical, math and computer science skills to explain customer behavior, identify leads, test hypothesis, predict data points and prescribe scientific solutions to business challenges. They also run frequent data studies to identify opportunities for growth and transformation in our key business areas.",,,"Data science unifies statistics, data analysis, machine learning, artificial intelligence and their related methods in order to understand and analyze actual phenomena with data. It employs techniques and theories drawn from many fields within the context of mathematics, statistics, computer science, and information science.",,,,,,,,
"Model Analytics Model analytics is responsible for model risk management throughout a model’s lifecycle (9 stages governance stages), model development, risk reporting and ad-hoc consultancy. Model risk management and Model Analytics are emerging risk areas as BBK moves towards reliance of more data-driven and machine aided decision making frameworks, it’s imperative that the models used for these strategic functions are well governed and adjusted as the environment changes. The Model analytics team manage all risks and business models through Absa’s model risk management framework. They also develop specialized local models, review model effectiveness, validate model output and streamline risk reporting as per the Data Aggregation and Risk Reporting guidelines.",,,,"The Model analytics team manage all risks and business models through Absa’s model risk management framework. They also develop specialized local models, review model effectiveness, validate model output and streamline risk reporting as per the Data Aggregation and Risk Reporting guidelines.",,,"Model analytics is responsible for model risk management throughout a model’s lifecycle (9 stages governance stages), model development, risk reporting and ad-hoc consultancy. Model risk management and Model Analytics are emerging risk areas as BBK moves towards reliance of more data-driven and machine aided decision making frameworks, it’s imperative that the models used for these strategic functions are well governed and adjusted as the environment changes.",,,,,,,,
Opportunistic fraud Card fraud Internet & mobile banking fraud Payment & lending fraud,,,,Internet & mobile banking fraud,,,Card fraud,,,,,,,,
