Our Pillars,Material Issues,Responses
Customer,"• Quality of our IT infrastructure
• Excellence of service
• Trust and safety","• Enhance penetration of digital channels to improve
our customers’ experience
• Simplifying our products and services"
Colleagues,"• Attracting and retaining talent
• Employee engagement
• Diversity and inclusion","• Embedding our purpose and values and integrating
them into recruitment, promotion and performance
management"
Citizenship,"• Access to financial services
• Helping business start-up and
grow","• Contributing to growth through financing and sup-
porting businesses and ensuring our products and
services support sustainable progress"
Conduct,"• Maintaining high ethical stand-
ards
• Treating customers fairly",• Increase risk awareness
Company,"• Managing risk, capital and
liquidity
• Revenue growth
• Cost control","• Clear financial targets
• Enhancing operational efficiency by investing in
smarter systems"
