Name,Number of shares held
Francis Okomo- Okello,"28,400"
Brown Ondego,"34,180"
Jane Karuku,"25,300"
Ashok Shah,"544,380"
Rose Ogega,"26,700"
Jeremy Awori,"57,300"
Yusuf Omari,"100,000"
Winnie Ouko,Nil
Norah Odwesso,Nil
Laila Macharia,Nil
