Shares Range,Number of Shareholders,No. of Shares Held,% Holding
,"12,098","3,323,031",
501-5 000,"22,837","49,172,795",0.91%
,"7,006","51,248,104",
10 001-100 000,"18,161","527,804,217",9.72%
,"1,020","282,135,407",
>1 000 000,163,"4,517,852,446",83.18%
,"61,285","5,431,536,000",
