Shares Range,Number of Shareholders,No. of Shares Held,% Holding
,11 865,3 299 828,
501-5 000,22 951,49 568 817,0.91
,6 975,50 981 941,
10 001-100 000,18 313,532 347 449,9.80
,1 018,280 159 391,
>1 000 000,164,4 515 178 574,83.13
,61 286,5 431 536 000,
