Indicators,2021,2020,Column
Cost to Income Ratio,45%,48%,Marked improvement (300 bps)
Loan Loss Rate,2.0%,4.3%,"Marked improvement in underlying portfolio
quality"
Yield on Loans,9.7%,10.2%,CBR(1) drop impact
Cost of Funds,2.3%,2.4%,"Better than prior period as we diversified our
deposits"
ROE(2),19.3%,9%,"Recovery in ROE(2) drove better earnings and
Optimization of capital"
