SYSTEMS ROLLED OUT OR ENHANCED IN 2016,Column,Column,Column
Project Name,Purpose,Benefits and unique features,System availability
File Gateway,"Launched in October 2016 and is a host to host
solution for corporate customers","• Real time receipt of transactions details
• Mobile upload capability
• Financial Transaction capability
• Multiple debits multiple credits functionality",99%
"Cash Liquidity
Platform","Launched in October 2016 and is a middleware
between channel system and core banking system","• New product set ups and features can be
managed without making changes to core
banking system",99%
"Stock Brokerage
XTP System","Launched in September 2016 it was developed to
establish a stock brokerage business in Kenya which
will trade as Barclays Financial Securities Limited","• Participation in the stock market
• Revenue growth",100%
"Automation of Pay
bill (Corporate)","Launched in November 2016 for the automation of
Mpesa payments into bank accounts",• Real time revenue collection for customers,97.8%
"Straight through
Process (STP) –
International Funds
Transfer (IFT)/
Domestic Funds
Transfer (DFT)","Effected in September 2016 to correct a defect to
ensure STP of international and domestic funds
transfers from Barclays Internet Retail (BIR)/Barclays
Mobile Banking (BMB)/ Barclays Tablet Banking
(BTB)","• Payments flow from Internet banking
platform to SWIFT system without manual
intervention",98.8%
"East African
Payment
System(EAPS)","Launched in December 2016 and was developed
to support payments in any of the East African
countries currencies in real time","• Real time settlement of payments in any of
the EAC currencies
• Conformance with regulatory requirement",100%
"Lead Management
System","Launched in June 2016 and is a mobile loan
calculator and lead management generation tool","• Customer acquisition by having sight of
customer needs and effectively attending to
them whilst having sight of other product
offering they might be interested in",99%
"Infrastructure
Transformational
Programme (ITP)","• ITP Branch Network work package
• ITP Extranet work package
• ITP Virtualisation work package
• Remediate the bank infrastructure by replacing
aging equipment and introduce fit for purpose
technologies to support business growth","• Reduction in complaints arising from
unstable network links. Data will be
transmitted optimally between the primary
and secondary links thereby reducing
incidences of network degradation.
• Efficiency in systems usage and costs
reduction in terms of less space and
power consumption through Virtualised
environment at the Datacentre","Improved
availability due to
active redundancy
and prioritisation on
network links."
"Unsupported
Infrastructure
Application (UIA)","Executed in September 2016 with the Installation
of new infrastructure at the Data Centre to achieve
faster processing and improved stability","• Faster batch processing
• Improved system availability and stability
• Improved stability across ATMs, PoS and
other Retail Channels.
• Sustainability to the Flexcube estate
allowing teams to stop ""fire-fighting"" and
focus on new initiatives","Due to early
completion of end
of day, the system
is available to the
customers without
delays"
