Fair Value through Profit/Loss,Fair Value through OCI - Debt instruments,Amortised Cost – financial instruments,Amortised cost financial liabilities,Total Assets and Liabilities,Off balance sheet financial instruments
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
-,-,24 416,-,24 416,-
2 010,-,-,-,2 010,-
-,-,309 098,-,309 098,44 905
33 470,96 068,1 049,-,130 587,-
-,-,8 069,-,8 069,-
-,-,7 289,-,7 289,-
-,-,11 313,-,11 313,-
35 480,96 068,361 234,-,492 782,44 905
1 653,-,-,-,1 653,-
-,-,-,19 730,19 730,-
-,-,-,7 045,7 045,-
-,-,-,367 115,367 115,-
-,-,-,6 054,6 054,-
-,-,-,17 954,17 954,48 310
1 653,-,-,417 898,419 551,48 310
,,,,,-
1 227,9 228,55 499,-,65 954,-
-,-,-,(18 499),(18 499),-
1 227,9 228,55 499,(18 499),47 455,-
