In Kes Millions unless stated otherwise,FY 2016,FY 2017,Variance
Income Statement,KES Mn,KES Mn,%
Interest Received,"28,121","27,171",(3%)
"Interest Paid
Net Interest Income","(5,787)
22,334","(5,370)
21,801","(7%)
(2%)"
Non Interest Income,"9,350","8,457",(10%)
"Total Income
Costs","31,684
(16,904)","30,259
(16,782)","(4%)
(1%)"
Impairment,"(3,927)","(3,115)",(21%)
"Profit Before Tax
Taxation","10,852
(3,453)","10,361
(3,435)","(5%)
(1%)"
Profit After Tax,"7,399","6,926",(6%)
Balance Sheet,KES Mn,KES Mn,%
Net Customer Loans and Advances,"168,509","168,397",0%
Customer Deposits,"178,179","185,977",4%
