Column,"Group and Company
2009 2008
Shs million Shsmillion"
,"63 64
(1) (1)"
At end of year,62 63
"21. Retirement benefit assets
The amounts recognised in the balance sheet are
determined as follows:
Present value of funded obligations
Fair value of scheme assets",
,"Group and company
2009 2008
Shs million Shs million"
,"(8,773) (8,021)
8,714 7,061"
"Fund deficit
Unrecognised actuarial losses","(59) (960)
1,896 2,980"
Asset in the balance sheet,"1,837 2,020"
"The amounts recognised in the profit and loss
account for the year are as follows:
Current service cost
Interest cost
Expected return on plan assets
Amortisation of actuarial losses","447 204
1,006 876
(920) (1,048)
50 -"
"Net charge for the year included in staff costs
(Note 8)
Contributions paid","583 32
(400) (342)"
Movement in the asset recognised in the balance sheet,183 (310)
