"Gross
Maximum
Exposure",DG1-9,DG 10-19,DG 20-21,DG1-9,DG 10-19,DG 20-21,DG 20 – 22
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
21 719,11 950,9 769,-,-,-,-,-
43 774,-,-,-,-,-,-,-
79 281,79 281,-,-,-,-,-,-
3 803,1 217,2 586,-,-,-,-,-
8 704,8 704,-,-,-,-,-,-
4 585,4 585,-,-,-,-,-,-
205 915,1 959,170 851,1 543,3 000,9 153,8 620,10 789
367 781,107 696,183 206,1 543,3 000,9 153,8 620,10 789
(11 084),(66),(2 227),(182),(20),(458),(1 656),(6 475)
356 697,107 630,180 979,1 361,2 980,8 695,6 964,4 314
100 666,7 465,73 880,1,8 880,8 577,1 803,60
