Column,Within 12 months,After 12 months,Total
As at 31 December 2025,Shs’million,Shs'million,Shs'million
,19 318,-,19 318
,5 600,-,5 600
,9 791,32 722,42 513
,1 052,-,1 052
,72 534,35 374,107 908
,-,8 220,8 220
,17 891,-,17 891
,107 626,204 540,312 166
,9 637,-,9 637
,-,463,463
,1 848,-,1 848
,-,47,47
,-,2 634,2 634
,-,1 352,1 352
,-,29,29
,-,6 056,6 056
,245 297,291 437,536 734
,13 250,-,13 250
,1 059,-,1 059
,15 127,-,15 127
,376 741,1 684,378 425
,-,16 646,16 646
,18 668,-,18 668
,44,-,44
,424 889,18 330,443 219
,(179 592),273 107,93 515
