Carrying amount,Fair value,Level 1,Level 2,Level 3
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
24 211,24 211,-,24 211,-
4 957,4 957,-,-,4 957
9 191,9 191,-,,9 191
283 579,331 210,-,-,283 579
321 938,369 569,-,24 211,297 727
9 018,9 018,-,-,9 018
60 798,60 798,-,-,60 798
306 663,306 663,-,-,306 663
19 773,14 370,-,-,19 773
396 252,390 849,-,-,396 252
