"2022
Shs’million",Column,"2022
Shs’million"
643,"525
929
497
5 514
2 587",641
885,,885
523,,523
5 642,,5 642
1 743,,1 698
9 436,"10 052
(2)",9 389
(84),,(4)
9 352,10 050,9 385
