Member,Number of shares
Francis Okomo-Okello,"28,400"
Brown Ondego Mmbai,"34,180"
Jane Karuku,Nil
Ashok Kumar Mepa Shah,"544,380"
Rose N Ogega,"26,700"
Jeremy Awori,"57,300"
Yusuf Kungu Omari,"100,000"
