"Effects of
offsetting in the
SOFP",Related amounts not offset,Column,Column
"Amounts
presented in the
SOFP","Amounts subject
to master netting
agreement","Financial
instrument
collateral","Net
amount"
Shs’million,Shs’million,Shs’million,Shs’million
234 234,-,(1 065),233 169
234 234,-,(1 065),233 169
268 717,-,(1 065),267 652
268 717,-,(1 065),267 652
