Column,USD GBP Euro Other Total
,"2,912 2,446 967 238 6,563
14,063 95 1,214 874 16,246
415 4 35 5 459"
Total assets,"17,390 2,545 2,216 1,117 23,268"
"Liabilities
Balances due to banking institutions and group
companies
Customer deposits
Other liabilities","3,955 - - 710 4,665
13,890 2,317 2,152 88 18,447
355 90 63 56 564"
Total liabilities,"18,200 2,407 2,215 854 23,676"
Net balance sheet position,(810) 138 1 263 (408)
Off balance sheet net notional position,758 (121) (253) (3) 381
Overall net position,(52) 17 (252) 260 (27)
"As at 31 December 2008
Total assets
Total liabilities",
,USD GBP Euro Other Total
,"23,081 3,138 3,079 1,586 30,884
22,872 2,299 2,845 1,396 29,412"
"Net balance sheet position
Off balance sheet net notional position","209 839 234 190 1,472
1,130 (817) (219) (46) 48"
Overall net position,"1,339 22 15 144 1,520"
