Column,Level 1,Level 2,Level 3,Total
Recurring fair value measurements,Shs'million,Shs'million,Shs'million,Shs'million
,-,41 908,-,41 908
,-,-,605,605
,-,1 052,-,1 052
,-,107 908,-,107 908
,-,(1 059),-,(1 059)
,-,149 809,605,150 414
