"Within 12
months","After 12
months",Total
Shs'million,Shs'million,Shs'million
29 599,-,29 599
1 721,-,1 721
20 446,-,20 446
3 198,-,3 198
33 616,39 658,73 274
-,1 062,1 062
27 888,-,27 888
137 685,198 029,335 714
14 285,-,14 285
-,463,463
-,47,47
-,3 282,3 282
-,659,659
-,31,31
-,8 632,8 632
268 438,251 863,520 301
11 685,-,11 685
13 047,-,13 047
3 250,-,3 250
16 324,-,16 324
364 844,2 059,366 903
793,-,793
-,24 024,24 024
18 851,-,18 851
428 794,26 083,454 877
(160 356),225 780,65 424
