"Fair Value through Profit/
Loss","Fair Value through OCI - Debt
instruments","Amortised Cost - financial
instruments","Amortised cost financial
liabilities",Total Assets and Liabilities,"Off balance sheet financial
instruments"
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
-,-,29 599,-,29 599,-
3 198,-,-,-,3 198,-
-,-,335 714,-,335 714,68 605
20 446,73 644,1 062,-,95 152,-
-,-,1 721,-,1 721,-
-,-,27 287,-,27 287,-
-,-,13 005,-,13 005,-
23 644,73 644,408 388,-,505 676,68 605
3 250,-,-,-,3 250,-
-,-,-,24 024,24 024,-
-,-,-,13 047,13 047,-
-,-,-,11 685,11 685,-
-,-,-,362 749,362 749,-
-,-,-,16 324,16 324,-
-,-,-,18 932,18 932,54 294
3 250,-,-,446 761,450 011,54 294
(226),9 124,45 139,-,54 037,-
-,-,-,(14 219),(14 219),-
(226),9 124,45 139,(14 219),39 818,-
