Column,Column,Column,esu,Column,Column
"L
&
P",Indicators,H1 20,21,H1 2020,Comment
,Income,17.8,bn,16.8 bn,6% growth
,NII,12.0,bn,11.3 bn,6% growth
,NFI,5.8 b,n,5.5 bn,6% growth
,Operating Costs,(8.0 b,n),(8.2 bn),3% decline
,Pre-Provision Profit,9.8 b,n,8.6 bn,14% growth
,Impairment,(1.9 b,n),(5.4 bn),64% decline
,Exceptional Items,-,,(1.7 bn),Re-brand concluded
,Profit Before Tax,7.9 b,n,1.6 bn,399% growth
,Profit After Tax,5.6 b,n,0.6 bn,846% growth
"e
ct
ne
ae
lh
as
B",Customer Assets,218.9,bn,201.9 bn,8% growth
,Customer Liabilities,263.9,bn,248.7 bn,6% growth
,Total Assets,398.2,bn,391.8 bn,2% growth
