Year ended 31 December 2013,Column,Column,Column
"At start of year
New impairment provisions
Increase in impairment provisions
Recoveries and impairment provisions no longer required
Net increase in impairment provisions
Amounts written off during the current year
At end of year
Net increase in impairment provisions
Amounts recovered previously written off
Net impairment charge to the profit or loss",,,
,"2,454
1,584","315
-","2,769
1,584"
,"113
(317)
1,380
(1,105)
______________
2,729
1,380
(255)
______________
1,125","98
-
98
-
______________
413
98
-
______________
98","211
(317)
1,478
(1,105)
______________
3,142
1,478
(255)
______________
1,223"
