Column,Absa Kenya 2022
Participation rate 85% 87%,90%
Colleague Experience Index 70% 71.9,73.4%
Job satisfaction 7.47 7.69,7.81
Employer advocacy +34% +35.47%,+41.3%
,"Delighted – 29.8%
Satisfied – 48.5%
Not happy – 21.7%"
