Director,Skills and Industry Experience,Category,Age,"Date of
Appointment","Tenure
(Years and
months)",Nationality,Column
Charles Muchene,"Risk Management, Strategy, Corporate
Governance, Audit, Quality Assurance,
Accounting and Financial advisory,
Risk Management, Citizenship &
Sustainability, Financial Services","Independent
Non-Executive",65,"22 August
2016",6 yrs 4 mths,Kenyan,Male
Patricia Ithau,"Retail and Consumer, Strategy, Brand
Management, Consumer Goods","Independent
Non-Executive",56,"23 February
2016",6 yrs 10 mths,Kenyan,Female
Laila Macharia,"Investment Banking, Assets and
Liabilities, Legal and commercial
services and advisory","Independent
Non-Executive",52,"11 August
2014",8 yrs 4 mths,Kenyan,Female
Japheth Olende,"Insurance, Financial Services, Risk
Management, Bancassurance","Independent
Non-Executive",69,7 March 2018,4 yrs 9 mths,Kenyan,Male
Louis Otieno,"Information Technology, Strategy,
Marketing","Independent
Non-Executive",58,7 March 2018,4 yrs 9 mths,Kenyan,Male
Jeremy Awori*,"Business Management, Financial
Accounting, Financial Services,
Strategy and Corporate Governance",Executive,52,"1 February
2013",9 yrs 10 mths,Kenyan,Male
Yusuf Omari,"Financial advisory, Financial
Accounting, Business Management,
Strategy and Corporate Governance",Executive,48,1 June 2009,13 yrs 6 mths,Kenyan,Male
Charles Murito,"Media, Information Technology, Digital
Space, Sales","Independent
Non-Executive",46,24 June 2020,2 yr 6 mths,Kenyan,Male
Fulvio Tonelli,"Audit, Risk & Quality, Finance, IT,
Strategy",Non-Executive,62,"1 October
2020",2 yr 2 mths,"South
African",Male
Christine Sabwa,"Corporate governance, Banking,
Business Strategy, Operational
risk, Policy formulation, Financial
Management, Financial modelling,
Auditing.","Independent
Non-Executive",49,"9 February
2022",10 mths,Kenyan,Female
,"Audit, Accounting Advisory, Corporate
Finance, Private Equity, Fund
Management, Corporate Governance","Independent
Non-Executive",41,"1 November
2022",1 month,"South
African",
