Eligibility,Existing Members who opt to remain Members of the Fund on the terms applying to DB Members.
Final Pensionable Salary,"(i) If the Member has been in service for 20 years or more, the annual pensionable salary at the
date of leaving.
(ii) If the Member has been in service for less than 20 years, the average annual salary paid to the
member during the last five years of service."
Normal Retirement Age,"Males 60
Females 55 (60 for some females)"
Service,"Continuous service with Bank or with Barclays Bank DCO or Barclays Bank International Limited,
immediately prior to the establishment of Barclays Bank of Kenya Limited. For those employees who
joined the Fund aged 17 or less, service will count from the member’s 17th birthday."
"Normal Retirement and Late
Retirement Pension","If service is 20 years or more then 1/720 of Final Pensionable Salary for each month of service to 31
December 2009. Thereafter, benefits accrue at a rate of 1/960 per month.
If service is lower than 20 years 1/960 of Final Pensionable Salary for each month of service.
This pension is reduced by an amount in respect of the social security pensions as described below
and cannot exceed 2/3 of his or her pensionable salary at the date of retirement."
Ill-health retirement*,"Pension based on potential service to Normal Retirement Age and Final Pensionable Salary at the
date of ill-health retirement. This pension will be paid only if service is 5 years or more."
