Column,2024,Column,2024,Column
Cash used in operations,Shs'million,Shs'million,Shs'million,Shs'million
,29 720,"23 678
11 335
(48 624)
8 374
851
139
1
194
6
35",27 974,
,15 202,,15 752,
,(59 246),,(59 195),
,7 761,,7 756,
,926,,925,
,222,,210,
,1,,1,
,531,,531,
,-,,-,
,30,,30,
,(4 853),(4 011),(6 016),
,,"(331)
(164)
2 017
(770)
(56 488)
14 374
(1 062)
(1 983)
(18 406)
(44 474)
21 967
(144)
2 667
13 047
58 998",,
,1 188,,1 188,
,(270),,(270),
,(1 597),,(1 597),
,724,,708,
,14 748,,14 748,
,(14 375),,(14 063),
,-,,-,
,92,,92,
,19 998,,20 262,
,(10 270),,(10 256),
,(12 620),,(12 620),
,(66),,(66),
,(4 640),,(4 640),
,(13 047),,(13 047),
,4 366,,4 971,
,(15 769),(10 752),(14 590),
,(20 622),(14 763),(20 606),
