Column,"Carrying
amount",Fair value,Level 1,Level 2,Level 3
Group,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
,19 318,19 318,-,19 318,-
,5 600,5 600,-,-,5 600
,8 220,13 314,-,10 120,3 194
,17 803,17 803,-,-,17 803
,312 166,317 425,-,-,317 425
,8 844,8 844,-,-,8 844
,371 951,382 304,-,29 438,352 866
,13 250,13 250,-,13 250,-
,14 974,14 974,-,-,14 974
,372 383,372 383,-,-,372 383
,16 646,15 896,-,-,15 896
,18 772,18 772,-,-,18 772
,436 025,435 275,-,13 250,422 025
