"Within 12
months","After 12
months",Total
Shs’million,Shs’million,Shs’million
28 808,-,28 808
3 803,-,3 803
41 844,1 930,43 774
921,-,921
44 001,35 220,79 221
8 704,-,8 704
56 099,138 796,194 895
7 687,-,7 687
425,-,425
47,-,47
-,2 843,2 843
-,618,618
-,35,35
-,3 123,3 123
192 339,182 565,374 904
4 083,-,4 083
1 535,-,1 535
64 350,-,64 350
184 398,53 341,237 739
-,7 628,7 628
14 380,-,14 380
268 746,60 969,329 715
(76 407),121 596,45 189
