item,0,1,2,3,4,5,6
2019,2019,,,,,,
Shs’million,Shs’million,,,,,,
28 808,28 808,,,,,,
3 803,3 803,,,,,,
43 774,43 774,,,,,,
921,921,,,,,,
78 785,78 785,,,,,,
9 204,9 204,,,,,,
194 895,194 895,,,,,,
7 614,7 614,,,,,,
373,373,,,,,,
292,292,,,,,,
47,47,,,,,,
2 843,2 843,,,,,,
539,539,,,,,,
35,35,,,,,,
3 097,3 097,,,,,,
375 030,375 030,,,,,,
4 083,4 083,,,,,,
1 535,1 535,,,,,,
65 061,65 061,,,,,,
238 291,238 291,,,,,,
7 628,7 628,,,,,,
14 353,14 353,,,,,,
330 951,330 951,,,,,,
2 716,2 716,,,,,,
35 990,35 990,,,,,,
276,276,,,,,,
209,209,,,,,,
4 888,4 888,,,,,,
44 079,44 079,,,,,,
Share Capital Fair value reserve Share-based payment reserve Retained profit Proposed Dividends Total equity,,,,,,,
Shs’million Shs’million Shs’million Shs’million Shs’million Shs’million,,,,,,,
None,,2 716,529,188,35 885,4 888,44 206
Profit for the year Other comprehensive loss for the year,,-,-,-,7 456,-,7 456
