Column,Baseline,Column,Column,Column,Column,Mild upside,Column,Column,Column,Column,Mild downside,Column,Column,Column,Column
,2023,2024,2025,2026,2027,2023,2024,2025,2026,2027,2023,2024,2025,2026,2027
Real GDP (%),5.2,5.4,5.5,5.5,5.5,5.5,6.9,7.0,7.2,7.3,4.9,4.1,4.1,4.0,4.0
CPI (%),7.8,6.8,5.7,5.4,5.4,6.8,5.4,4.9,4.6,4.6,8.2,7.9,7.4,7.2,7.2
"Average policy
rate (%)",9.8,10.4,9.5,9.1,9.0,9.8,9.5,8.3,8.0,8.0,10.0,11.5,10.9,10.5,10.5
