Freehold buildings,Right of use assets,Leasehold improvements,Fixtures fittings and equipment,Motor vehicles,Work in progress,Total
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs’million,Shs'million
135,3 638,2 786,4 956,41,20,11 576
-,177,45,74,-,228,524
-,(5),-,(129),-,-,(134)
-,-,-,217,-,(217),-
135,3 810,2 831,5 118,41,31,11 966
(90),(1 934),(2 288),(3 956),(22),-,(8 290)
(1),(500),(45),(376),(4),-,(926)
-,5,-,129,-,-,134
(91),(2 429),(2 333),(4 203),(26),-,(9 082)
44,1 381,498,915,15,31,2 884
