"Exposure relating
to on SOFP","Guarantees credit insurance
and credit derivatives",Physical collateral,Cash collateral,Other,Unsecured,"Guarantees credit
insurance and credit
derivatives","Physical
collateral",Cash collateral,Other,Unsecured,Total
"Shs’
million","Shs’
million","Shs’
million","Shs’
million","Shs’
million","Shs’
million","Shs’
million","Shs’
million","Shs’
million","Shs’
million","Shs’
million","Shs’
million"
21 719,-,-,-,-,-,-,-,-,-,-,21 719
79 281,-,-,-,-,-,-,-,-,-,-,79 281
921,-,-,921,-,-,-,-,-,-,-,-
43 774,-,-,-,-,-,-,-,-,-,-,43 774
3 803,-,-,-,-,-,-,-,-,-,-,3 803
4 585,-,-,-,-,-,-,-,-,-,-,4 585
194 895,48,491,264,141,840,1 320,12 502,132,940,18 346,159 871
100 666,-,2,-,2,4,266,2 445,193,206,9 135,88 413
8 704,-,-,-,-,-,-,-,-,-,-,8 704
458 348,48,493,1 185,143,844,1 586,14 947,325,1 146,27 481,410 150
