Column,2013,2012
Discount rate,12.0%,12.0%
Expected rate of return on scheme assets,12.0%,12.0%
Inflation rate,7.5%,7.5%
Future salary increases,9.5%,9.5%
Future pension increases,4.5%,4.5%
