Column,"Up to 1 – 3 3-12 1 – 3 3 -5 Over
1 month Months Months Years Years 5 years Totals"
,"1,503 - - - - - 1,503
114,848 5,991 4,125 1,996 - - 126,960
262 - - - - - 262
1,163 119 2,704 - - - 3,986
3,984 - - 34 4,913 - 8,931"
"Total financial liabilities (contractual maturity dates)
Assets held for managing liquidity (contractual maturity dates)","121,760 6,110 6,829 2,030 4,913 - 141,642
23,388 4,037 23,145 4,462 2,488 3,400 60,919"
"As at 31 December 2008
Liabilities
Customer deposits
Deposits and balances due to banking institutions
Balances due to group companies
Other liabilities","83,034 37,323 7,975 1,110 - - 129,442
1,401 - - - - - 1,401
10,291 - - - - - 10,291
5,130 175 - 303 5,059 - 10,667"
"Total financial liabilities (Contractual maturity dates)
Assets held for managing liquidity (contractual maturity dates)","99,856 37,498 7,975 1,413 5,059 - 151,801
25,968 10,655 2,656 7,453 1,017 2,009 49,667"
