Non-executive Directors,Date of appointment,"Total emoluments 2022
Shs"
,22 August 2016,9 025 700
,August 2014,5 189 040
,23 February 2016,6 484 300
,7 March 2018,6 484 300
,7 March 2018,6 746 800
,24 June 2020,3 942 300
,1 October 2020,4 152 300
,9 February 2022,4 082 727
,1 November 2022,921 175
,,47 028 642
