"Fair Value
through
Profit/Loss","Fair Value
through OCI
- Debt
instruments","Amortised
Cost - Debt
instruments","Amortised
cost financial
liabilities","Total Assets
and Liabilities"
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
-,-,21 009,-,21 009
1 120,-,-,-,1 120
-,-,234 234,-,234 234
44 196,87 972,-,-,132 168
-,-,3 007,-,3 007
-,-,19 385,-,19 385
-,-,9 314,-,9 314
45 316,87 972,286 949,-,420 237
1 344,-,-,-,1 344
-,-,-,8 505,8 505
-,-,-,4 809,4 809
-,-,-,270 737,270 737
-,-,-,67 143,67 143
-,-,-,18 762,18 762
1 344,-,-,369 956,371 300
-,8 246,23 741,-,31 987
-,-,-,(6 876),(6 876)
-,8 246,23 741,(6 876),25 111
