Column,Corporate Banking,Consumer Banking,Total
Segmental reporting (continued),Shs'million,Shs'million,Shs'million
,17 776,28 452,46 228
,1 610,5 836,7 446
,5 817,1 455,7 272
,-,69,69
,25 203,35 812,61 015
,(159),(7 602),(7 761)
,25 044,28 210,53 254
,(71),(1 077),(1 148)
,(4 624),(17 762),(22 386)
,(4 695),(18 839),(23 534)
,20 349,9 371,29 720
,(6 055),(2 789),(8 844)
,14 294,6 582,20 876
