Member,Ordinary (Scheduled) Meetings,Column,Column
,27.1.14,24.6.14,7.8.14
Francis Okomo-Okello,√,×,√
Brown Ondego,√,√,√
Ashok Shah,√,√,√
Jeremy Awori,√,√,×
Laila Macharia,N/A,N/A,N/A
Norah Odwesso,N/A,N/A,N/A
