Stage 1,Stage 2,Stage 3,Total
Shs’million,Shs’million,Shs’million,Shs’million
11 415,2,-,11 417
-,-,-,-
-,-,-,-
-,-,-,-
(2 571),-,-,(2 571)
-,-,-,-
-,-,-,-
8 844,2,-,8 846
