"Freehold
buildings","Right of
use assets","Leasehold
improvements","Fixtures fittings
and equipment","Motor
vehicles","Work in
progress",Total
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
135,3 810,2 831,5 118,41,31,11 966
-,282,63,71,39,149,604
-,-,-,(75),-,-,(75)
-,-,-,111,-,(111),-
135,4 092,2 894,5 225,80,69,12 495
(91),(2 429),(2 333),(4 203),(26),-,(9 082)
(2),(469),(27),(338),(12),-,(848)
-,-,-,73,-,-,73
(93),(2 898),(2 360),(4 468),( 38),-,(9 857)
42,1 194,534,757,42,69,2 638
