Director,Main Board,"Group Audit and
Risk Committee","Corporate Governance and
Nominations Committee","Credit Committee
Meeting",Totals
,8/8,,4/4,,
,8/8,7/7,,4/4,
,7/8,,4/4,,
,8/8,6/7,,4/4,
,4/4,4/5,2/2,,
,7/8,7/7,,4/4,
,8/8,,,1/4,
,8/8,,,,
,6/8,,,2/2,
,8/8,7/7,2/2,,
