Date and Time,Topic,Trainer
,Integrated Reporting,External
,Reputation Risk,Internal
,Break,
,Ethics,Internal
,Lunch,
,Emerging Accounting Standards,External
END OF DAY 1,,
,Board culture and dynamics,External
,Break,
,Big Data,Internal
END OF DAY 2,,
