"Performance
rating","Personal modifier
On-target award %"
Outstanding,200
Very strong,115 – 185
Strong,85 – 115
Good,35 – 85
"Improvement
needed",Ineligible for short-term incentive
Underperforming,Ineligible for short-termincentive
