Column,"Up to 1
month",1 - 3 months,"4 - 12
months",Over 1 year,"Non-interest
bearing",Total
2024,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
,-,-,-,-,24 416,24 416
,20,1 046,15 837,13 591,2 976,33 470
,2 000,11 027,49 008,33 325,-,95 360
,1 049,-,-,-,-,1 049
,8 069,-,-,-,-,8 069
,6 982,-,-,-,644,7 626
,236 791,2 788,10 337,59 182,-,309 098
,254 911,14 861,75 182,106 098,28 036,479 088
,5 524,1 292,-,-,229,7 045
,3 972,-,-,713,1 383,6 068
,127 006,40 012,76 155,125 450,3 251,371 874
,-,19 640,-,-,90,19 730
,136 502,60 944,76 155,126 163,4 953,404 717
,118 409,(46 083),(973),(20 065),23 083,74 371
