item,1,2,3,4,5,6
Share capital Shs’million Fair value reserve Shs’million Share-based payment reserve Shs’million Retained profit Shs’million Proposed dividends Shs’million Total equity Shs'million,,,,,,
None,2 716,1 082,183,42 524,-,46 505
Profit for the year Other comprehensive loss for the year,-,-,-,10 870,-,10 870
